,Unnamed: 0,fecha,HORA declarada,Ruta,OperadOR,flight_no,route,ac_type,registration,cn_ln,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,nueva,reporte
294,294,"October 12, 1932",?,"Port Etienne, Mauritania",Aeropostale,?,Dakar - Port Etienne - Algiers - Paris,Latecoere 28,F-AJIP,905,1,0,1,1,0,1,0,Crashed shortly afer taking off.,1932-10-12,Se estrelló poco después de despegar.
295,295,"October 26, 1932",?,"Villa Monte, Bolivia",Lloyd Aero Boliviano,?,?,Ford Tri-motor 5,?,?,2,0,2,2,0,2,0,Former American army flyer Donald Duke was killed when his plane carrying Bolivian army supplies crashed.,1932-10-26,El ex piloto del ejército estadounidense Donald Duke murió cuando su avión que transportaba suministros del ejército boliviano se estrelló.
296,296,"October 29, 1932",?,"Ramsgate, England",Deutsche Lufthansa,?,London - Cologne - Berlin,Junkers W-33,D-2017,?,2,0,2,2,0,2,0,The mail plane ditched into the English Channel after encountering 60 mile-an-hour gale force winds.,1932-10-29,El avión correo se hundió en el Canal de la Mancha después de encontrar vientos huracanados de 60 millas por hora.
297,297,"November 02, 1932",?,"Echterpfuhl, Germany",Deutsche Lufthansa,?,Nuremberg - Frankfort,Junkers F-13,D-724,696,5,3,2,5,3,2,0,"Crashed into mountainous terrain in the Spessart mountains in fog, after a wing separated from the aircraft due to overstressing..",1932-11-02,"Se estrelló contra un terreno montañoso en las montañas Spessart en medio de la niebla, luego de que un ala se separara del avión debido a una sobrecarga."
298,298,"November 25, 1932",?,"Marianna, Arkansas",Hunter Airways,?,"Little Rock, AR - Memphis, TN",Travel Air 6000,NC369M,2020,2,1,1,2,1,1,0,Became lost and circled  until the plane struck an oak tree and crashed onto a island in the bayou.,1932-11-25,Se perdió y dio vueltas hasta que el avión chocó contra un roble y se estrelló contra una isla en el pantano.
299,299,"December 14, 1932",?,"Amarillo, Texas",Trans Continental and Western Air,?,?,Ford 5,NC9650,5-AT-037,2,0,2,2,0,2,0,The mail plane crashed in a snowstorm. The pilot died two days later from his injuries.,1932-12-14,El avión del correo se estrelló en una tormenta de nieve. El piloto murió dos días después a causa de sus heridas.
300,300,"December 14, 1932",?,"Rocky Ridge, Colorado",Boeing Air Transport,?,?,Boeing 40,NC281,892,1,0,1,1,0,1,0,Struck a mountain when the pilot reduced altitude to maintain contact with the ground.,1932-12-14,Golpeó una montaña cuando el piloto redujo la altitud para mantener el contacto con el suelo.
301,301,"December 26, 1932",?,"Wau, Australia",Guinea Airways,?,?,De Havilland DH-60,VH-UMJ,1372,1,0,1,1,0,1,0,The pilot lost control and crashed after attempting an aerobatic maneuver.,1932-12-26,El piloto perdió el control y se estrelló tras intentar una maniobra acrobática.
302,302,"January 10, 1933",?,Algiers,Aeropostale,?,?,CAMS 53,F-AISV,5,3,0,3,1,0,1,0,"On the second attempt at taking off, the float plane struck waves and overturned.",1933-01-10,"En el segundo intento de despegue, el hidroavión golpeó las olas y volcó."
303,303,"January 14, 1933",?,"Newark, New Jersey",Eastern Air Transport,?,Test flight,Curtiss Condor 18,NC185H,1168,2,0,2,2,0,2,0,Went into a vertical bank and crashed and burned.,1933-01-14,Entró en un banco vertical y se estrelló y se quemó.
304,304,"January 20, 1933",?,"Marietta, Georgia",American Airways,?,?,Stearman 4,N490W,4039,1,0,1,1,0,1,0,Crashed into a mountainside.,1933-01-20,Se estrelló contra la ladera de una montaña.
305,305,"January 20, 1933",02:07,"Bourne, Texas",American Airways,?,Big Springs - San Antonio,Stearman 4,NC11721,4039,1,0,1,1,0,1,0,The pilot of the mail plane lost his bearings and crashed into the hillside in poor visibility.,1933-01-20,El piloto del avión correo perdió el rumbo y se estrelló contra la ladera con poca visibilidad.
306,306,"January 24, 1933",?,"Eugene, Oregon",Pacific Air Transport,?,?,Ford 5-AT-D,NC431H,5-AT-098,3,1,2,2,0,2,0,The mail plane crashed while taking off.,1933-01-24,El avión correo se estrelló mientras despegaba.
307,307,"March 11, 1933",?,"Near Mendoza, Argentina",Pan American Grace Airways,?,"Mendoza, Argentina - Santiago, Chili",Fairchild FC-2W,NC9723,?,2,0,2,2,0,2,0,Crashed and burned.,1933-03-11,Chocado y quemado.
308,308,"March 25, 1933",2007,"Hayward, California",Varney Airlines,?,Burbank - San Francisco,Lockheed Orion 9,NC12226,184,3,2,1,3,2,1,11,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.",1933-03-25,"El avión se estrelló contra la parte superior de dos casas y se estrelló contra una tercera, estallando en llamas bajo una fuerte lluvia. Una condición meteorológica inusual e imprevista desarrolló su intensidad en la localidad inmediata del accidente. El techo cayó repentinamente cuando el avión se acercó a su destino."
309,309,"March 28, 1933",14:30,"Near Dixmude, Belgium",Imperial Airways,?,"Cologne, Germany - Croydon, England",Armstrong Whitworth Argosy II,G-AACI,AW-363,15,12,3,15,12,3,0,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger, Dr. Voss,  in an attempt to commit suicide. The plane was named Cit y of Liverpool.",1933-03-28,"El avión navegaba a unos 4.000 pies cuando se observó fuego saliendo de su sección de cola. El piloto intentó realizar un aterrizaje de emergencia, pero el fuselaje se partió en dos y la aeronave se estrelló y se quemó. Aunque nunca se probó, se cree que este es el primer desastre de una aerolínea causado por un acto de saciedad. Se pensó que el incendio lo inició un pasajero, el Dr. Voss, en un intento de suicidio. El avión se llamó Ciudad y de Liverpool."
310,310,"April 03, 1933",?,"Hemkenrode, Germany",Deutsche Lufthansa,?,?,Junkers F-13,D-534,?,2,1,1,1,1,0,0,Crashed under unknown circumstances.,1933-04-03,Se estrelló en circunstancias desconocidas.
311,311,"April 04, 1933",1230,"Off Barnegat, New Jersey",Military - U.S. Navy,?,?,Goodyear-Zeppelin U.S.S. Akron (airship),ZRS-4,?,76,?,?,73,?,?,0,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the Atlantic Ocean. Decision by the commander to fly into a storm despite the presence of lightning.",1933-04-04,"Mientras navegaba a 1.600 pies frente a Nueva Jersey, fuertes corrientes de aire hicieron caer el barco a 700 pies antes de estabilizarse. Antes de que pudiera recuperar una altura segura, se desplomó en el Océano Atlántico. Decisión del comandante de volar hacia una tormenta a pesar de la presencia de un rayo."
312,312,"April 23, 1933",0740,"Near Castrovillari, Calabria, Italy",Air Orient,?,Corfu - Naples,Cams 53-1,F-ALCE,29,8,5,3,5,2,3,0,Crashed into a mountain after encountering a mountain wave..,1933-04-23,Se estrelló contra una montaña después de encontrarse con una ola de montaña.
313,313,"April 29, 1933",?,"Traunstein, Germany",Eurasia,?,?,Junkers W-34,D-4,2737,4,2,2,4,2,2,0,Crashed on a test flight before delivery to Eurasia in China.,1933-04-29,Se estrelló en un vuelo de prueba antes de la entrega a Eurasia en China.
314,314,"May 09, 1933",1500,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,?,Paris - Morroco,Latecoere 28-1,F-AJIX,1701,6,3,3,6,3,3,0,Crashed after being forced down to the ground by strong downdrafts.,1933-05-09,Se estrelló después de ser empujado al suelo por fuertes corrientes descendentes.
315,315,"June 04, 1933",0315,"Bowling Green, Virginia",Eastern Air Transport,?,?,Pitcairns PA-6,?,?,1,0,1,1,0,1,0,The mail plane had engine faiure and crashed into a ravine.,1933-06-04,El avión correo tuvo una falla en el motor y se estrelló contra un barranco.
316,316,"June 11, 1933",1700,"Glenview, Illinois",Palwaukee,?,Sightseeing,Sikorsky S-38B (flying boat),NC-141M,?,9,7,2,9,7,2,0,"After attempting to land in lake Michigan the pilot encounter rough water and aborted the landing. While taking off the right wing separated from the plane due to the previous rough landing,",1933-06-11,"Después de intentar aterrizar en el lago Michigan, el piloto se encontró con aguas turbulentas y abortó el aterrizaje. Mientras despegaba el ala derecha separada del avión debido al aterrizaje brusco anterior,"
317,317,"July 18, 1933",1540,Aegean Sea,Societa Anonima Aero Expresso Italiana,?,Athens - Rhodes,CMASA Wal (flying boat),I-AZEE,127,6,2,4,6,2,4,0,The float plane was forced to ditch in gale force winds. No trace of the plane or those onboard were ever found.,1933-07-18,El hidroavión se vio obligado a amerizar con vientos huracanados. Nunca se encontraron rastros del avión o de las personas a bordo.
318,318,"August 29, 1933",0100,"Quay, New Mexico",Trans Continental and Western Air,?,"Amarillo, TX - Albuquerque, NM",Ford 5-AT-B Tri Motor,NC9607,5-AT-005,5,3,2,5,3,2,0,Crashed into a mountain slope  during a storm while attempting to make an emergency landing.,1933-08-29,Se estrelló contra la ladera de una montaña durante una tormenta mientras intentaba realizar un aterrizaje de emergencia.
319,319,"September 12, 1933",?,"Near Ljubljana, Yugoslavia",Aeroput,?,"Ljubjana - Susak, Croatia",Farman F-306,YU-SAH,?,8,6,2,8,6,2,0,Crashed on the grounds of an insane asylum after losing an engine on takeoff.,1933-09-12,Se estrelló en los terrenos de un manicomio después de perder un motor en el despegue.
320,320,"October 10, 1933",2100,"Chesterton, Indiana",United Air Lines,?,Newark - Cleveland - Chicago - Oakland,Boeing 247,NC13304,1685,10,7,3,10,7,3,0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation.",1933-10-10,"Mientras se dirigía a Chicago, la aeronave fue destruida por un artefacto explosivo colocado en la bodega de carga, que consistía en nitroglicerina y estaba conectado a un dispositivo de sincronización. Testigos oculares en tierra informaron haber escuchado una explosión poco después de las 9 p.m. y dijeron haber visto el avión en llamas a una altitud de aproximadamente 1,000 pies. Siguió una segunda explosión después de que el avión se estrellara. Este fue el primer caso comprobado de sabotaje en la historia de la aviación comercial."
321,321,"October 31, 1933",1120,"Etobon, France",Air France,?,Zurich - Basel - Paris,Farman F-301,F-AJMI,04,5,2,3,2,1,1,0,?,1933-10-31,
322,322,"November 09, 1933",2235,"Portland, Oregon",United Air Lines,?,"Seattle, WA - Dallas, TX",Boeing 247,NC13345,1772,10,7,3,4,3,1,?,Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.,1933-11-09,Se estrelló en una zona boscosa espesa al despegar después de que el piloto se perdiera en la niebla.
323,323,"November 10, 1933",?,"Moriarty, New Mexico",Trans Continental and Western Air,?,?,Northrop Delta,NC12292,03,1,0,1,0,0,0,0,The pilot bailed out after the engine caught fire. He was not injured.,1933-11-10,El piloto rescató después de que el motor se incendiara. No resultó herido.
324,324,"November 20, 1933",?,"Near Tsinan, China",China National Aviation Corporation,?,Canton - Shanghai,Stinson,?,?,8,7,1,8,7,1,?,Crashed into the Chingshan mountain range in fog.,1933-11-20,Se estrelló contra la cordillera de Chingshan en la niebla.
325,325,"November 21, 1933",15:00,"Near Kharkov, Ukraine, USSR",Kalinin,?,Test flight,Kalinin K-7,?,?,20,0,20,14,0,14,0,Crashed due to structural failure during a test flight.,1933-11-21,Se estrelló debido a una falla estructural durante un vuelo de prueba.
326,326,"November 24, 1933",?,"Wedron, Illinois",National Air Transport,?,?,Boeing 247,NC13324,1705,2,0,2,2,0,2,0,Crashed under unknown circumstances.,1933-11-24,Se estrelló en circunstancias desconocidas.
327,327,"December 11, 1933",1600,"Hamburg, Germany",Deutsche Lufthansa,?,Berlin - Hamburg,Focke-Wulf A-17,D-1403,47,10,8,2,6,4,2,0,Crashed after striking an obstacle while landing in poor visibility and snow.,1933-12-11,Se estrelló después de golpear un obstáculo mientras aterrizaba con poca visibilidad y nieve.
328,328,"December 14, 1933",?,"Eshowe, South Africa",Union Airways,?,?,Junkers W-34,ZS-AEB,2735,6,4,2,5,3,2,0,Crashed in poor weather conditions while enroute.,1933-12-14,Se estrelló en malas condiciones climáticas mientras estaba en ruta.
329,329,"December 30, 1933",c 13:00,"Near Ruysselede, Belgium",Imperial Airways,?,"Brussels, Belgium - Croydon, England",Avro 10,G-ABLU,528,10,8,2,10,8,2,0,Crashed  into a field in desnse fog after hitting a radio antenna tower which tore off a wing.,1933-12-30,Se estrelló contra un campo en medio de una niebla densa después de golpear una torre de antena de radio que le arrancó un ala.
330,330,"January 15, 1934",1815,"Corbigny, France",Air France,?,Saigon - Paris,Dewoitine D-332,F-AMMY,01,14,10,4,14,10,4,0,"The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named ""Emeraude.""",1934-01-15,"El avión se estrelló mientras se dirigía a una fuerte tormenta de nieve. Formación de hielo. El avión se llamó ""Emeraude""."
331,331,"January 20, 1934",?,"Carombe, France",Air France,?,?,Breguet 280T,F-AJKX,?,2,?,?,2,?,?,0,?,1934-01-20,
332,332,"February 23, 1934",1415,"Near Salt Lake City, Utah",Boeing Aircraft Company,?,Salt Lake City - Cheyenne,Boeing 247,NC13357,1739,8,5,3,8,5,3,0,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain.",1934-02-23,"Se estrelló en la cima de Parley's Canyon, a 20 millas de Salt Lake City, poco después de despegar hacia Cheyenne. Error del piloto. La tripulación no logró ganar la altitud suficiente para despejar un terreno que se elevaba rápidamente."
333,333,"February 26, 1934",?,"Rio de Oro, Morocco",Air France,?,?,Latécoère 28,F-AJPA,925,6,?,?,1,?,?,0,?,1934-02-26,
334,334,"March 06, 1934",?,"Petersburg, Illinois",American Airways,?,"St. Louis, MO - Chicago, IL",Fairchild Pilgrim 100A,NC710Y,6606,4,3,1,4,3,?,0,Crashed into a snow drift due to icing in a blizzard.,1934-03-06,Se estrelló contra un montón de nieve debido a la formación de hielo en una ventisca.
335,335,"March 10, 1934",?,"Pereira, Colombia",Pan American Airways (Scadta),?,Quiddo - Cartago,Sikorsky S-38 Flying Boat,NC-9107,?,6,4,2,5,3,2,0,"Scadta was a Pan Am subsidiary.  It was operating a domestic flight, which crashed in the Colombian jungle, which was called ""Green Hell."" Five Goigira Indians, who were canoeing up the Uribe River, found pieces of clothing, and then dead bodies of five people from the crash, and the wreckage of the aircraft.  They also found a man who was alive, but dazed, exhausted, half crazy and unable to speak.  They carried him for seven days through the jungle to civilization.  He later recovered, and his name was Newton C. Marshall, General Manager of South American Gold & Platinum Company.  He was the only survivor.",1934-03-10,"Scadta era una subsidiaria de Pan Am. Operaba un vuelo doméstico, que se estrelló en la selva colombiana, al que llamaron ""Infierno Verde"". Cinco indígenas Goigira, que navegaban en canoa por el río Uribe, encontraron piezas de ropa y luego los cadáveres de cinco personas del accidente y los restos de la aeronave. También encontraron a un hombre que estaba vivo, pero aturdido, exhausto, medio loco y sin poder hablar. Lo llevaron durante siete días a través de la selva a la civilización. Más tarde se recuperó y su nombre era Newton C. Marshall, Gerente General de South American Gold & Platinum Company. El fue el unico sobreviviente."
336,336,"March 22, 1934",?,"Near Lima, Peru",Pan American Grace Airlines,?,?,Ford 5-AT-C Tri-Motor,NC407H,5-AT-066,15,12,3,3,0,3,0,Crashed on take off due to engine failure.,1934-03-22,Se estrelló en el despegue debido a una falla del motor.
337,337,"April 10, 1934",?,"Ningpo Bay, China",China National Aviation Corporation,?,?,Sikorsky S-38BB,NV17V,?,3,1,2,3,1,2,0,?,1934-04-10,
338,338,"May 09, 1934",?,English Channel,Air France,?,"Dieppe, France - New Haven, England",Wibault 282T,F-AMHP,8,6,3,3,6,3,3,0,Crashed into the English Channel and sunk immedately in fog.,1934-05-09,Se estrelló contra el Canal de la Mancha y se hundió inmediatamente en la niebla.
339,339,"May 31, 1934",0500,"Croydon, England",Air France,?,"Croydon, England - Paris, France",Liore-et-Olivier 213,F-AIVG,?,2,0,2,2,0,2,0,The cargo plane struck an aerial mast and crashed into houses while attempting to take off.,1934-05-31,El avión de carga golpeó un mástil aéreo y se estrelló contra casas mientras intentaba despegar.
340,340,"June 09, 1934",1700,"Mongaup Mountain, New York",American Airways,?,New York - Chicago,Curtiss Condor T-32,NC12354,22,7,4,3,7,4,3,0,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route. Pilot deviated from the prescribed course and flew over hazardous terrain.",1934-06-09,"Se estrelló contra Last Chance Hill en las montañas Catskill a una altitud de 2,000 pies en medio de niebla y tormentas eléctricas mientras estaba en el camino. El piloto se desvió del rumbo prescrito y voló sobre terreno peligroso."
341,341,"June 11, 1934",1100,"Junin, Argentina",Panagra,?,Buenos Aires - Santiago,Ford 5-AT-C Tri-Motor,NC8417,5-AT-055,10,7,3,6,3,3,0,"Crashed into Mar Chiquita Lagoon during a heavy rainstorm. The aircraft was named ""San Pedro.""",1934-06-11,"Se estrelló contra la laguna Mar Chiquita durante una fuerte tormenta. La aeronave fue nombrada ""San Pedro""."
342,342,"June 22, 1934",?,"Chausseehausen, Germany",Deutsche Lufthansa,?,?,Dornier Merkur,D-1445,176,7,5,2,1,0,1,0,Weather related.,1934-06-22,Relacionado con el clima.
343,343,"June 23, 1934",0600,"Burbank, California",Aerevias Centrales Air Service,?,Mexico - Burbank,Lockheed Orion,XA-BEJ,?,1,0,1,1,0,1,0,Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.,1934-06-23,"Se estrelló mientras se dirigía a recoger pasajeros. El avión se estrelló cerca de una estación de bomberos en medio de una densa niebla y estalló en llamas, matando al piloto."
344,344,"July 09, 1934",?,"San Bernardino, California",United Air Services,?,San Bernardion - Los Angeles,Lockheed Vega,NC32E,033,4,3,1,3,2,1,0,Failed to gain altitude and struck a grove of trees while attempting to take off. The plane came to rest in a watermelon patch.,1934-07-09,No pudo ganar altitud y chocó contra una arboleda mientras intentaba despegar. El avión se detuvo en un huerto de sandías.
345,345,"July 27, 1934",0950,"Near Tuttlingen, Germany",Swissair,?,Zurich - Stuttgart - Leipzig - Berlin,Curtiss AT-32C Condor,CH-170,53,12,9,3,12,9,3,0,"The aircraft crashed during a violent storm near the Swiss - Germany border. The plane fell from a height of 3,000 feet, bursting into flames. Failure of the right wing caused by fractures in the structure which occurred because of  oscillations in the wing.",1934-07-27,"El avión se estrelló durante una violenta tormenta cerca de la frontera entre Suiza y Alemania. El avión cayó desde una altura de 3.000 pies, estallando en llamas. Fallo del ala derecha causado por fracturas en la estructura ocurridas por oscilaciones en el ala."
346,346,"August 05, 1934",?,"Bahia, Brazil",Air France,?,?,Latecoere 26,F-AILK,662,2,0,2,2,0,2,0,The crew lost control of the aircraft and crashed while taking off from Bahia while on a mail flight.,1934-08-05,La tripulación perdió el control de la aeronave y se estrelló cuando despegaba de Bahía en un vuelo postal.
347,347,"August 10, 1934",?,"Ningbo, China",China National Aviation Corporation,?,?,Sikorsky S-38B,?,?,?,?,?,?,?,?,?,?,1934-08-10,
348,348,"August 31, 1934",2245,"Amazonia, Missouri",Rapid Air Transport,6,Kansas City - Saint Joseph - Omaha,Stinson  SM-6000B,NC11118,5004,5,4,1,5,4,1,0,The plane crashed about 11 miles from St. Joseph in heavy fog. Pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. Inaccurate weather conditions reported to the pilot.,1934-08-31,El avión se estrelló a unas 11 millas de St. Joseph en medio de una densa niebla. Error del piloto al despegar en condiciones meteorológicas peligrosas y virar demasiado cerca del suelo en una zona con niebla. Condiciones climáticas inexactas informadas al piloto.
349,349,"October 02, 1934",1050,English Channel,Hillman's Airways,?,Croydon - Paris,de havilland 89 Dragon Rapide,G-ACPM,?,7,6,1,7,6,1,0,"While overflying The Channel, the pilot encountered poor weather conditions with light rain and fog. He decided to return but due to low visibility and while cruising VFR, he was unable to distinguish the water surface and eventually lost control of the aircraft that crashed into the sea some five km off Folkestone. The pilot""s lack of skill and knowledge in matters of navigation .",1934-10-02,"Mientras sobrevolaba The Channel, el piloto se encontró con malas condiciones climáticas con lluvia ligera y niebla. Decidió regresar, pero debido a la poca visibilidad y mientras navegaba en VFR, no pudo distinguir la superficie del agua y finalmente perdió el control de la aeronave que se estrelló contra el mar a unos cinco km de Folkestone. La falta de pericia y conocimientos del piloto en materia de navegación."
350,350,"October 03, 1934",?,"Near Winton, Australia",Qantas,?,?,de Havilland DH-50A,VH-UHE,4,3,2,1,3,2,1,0,"Crashed after in-flight loss of control, possibly stalled at low altitude in dusty low-visibility conditions.",1934-10-03,"Se estrelló después de perder el control en vuelo, posiblemente se detuvo a baja altitud en condiciones polvorientas de baja visibilidad."
351,351,"October 19, 1934",?,"Bass Strait, Australia",Holymans Airways,?,"Launceston, Tasmania - Melbourne, Australia",de Havilland DH-86,VH-URN,2301,11,9,2,11,9,2,0,Crashed 10 miles off the coast under unknown circumstances,1934-10-19,Se estrelló a 10 millas de la costa en circunstancias desconocidas
352,352,"November 02, 1934",?,"Kiapit, Australia",Holdens Air Transport Service,?,Rabaul - Kaiapit,De Havilland DH-61,VH-UHW,330,4,2,2,2,2,0,0,"On final approach to Kaiapit, the aircraft was too low and hit a house short of runway and caught fir. The aircraft was named ""Canberra.""",1934-11-02,"En la aproximación final a Kaiapit, la aeronave estaba demasiado baja y golpeó una casa antes de la pista y se incendió. El avión se llamó ""Canberra""."
353,353,"November 15, 1934",2342,"Amazonia, Montana",Rapid Air Transport,?,Omaha - Kansas City,Stinson SM-6000-B,NC10809,5031,2,0,2,2,0,2,0,"While flying at night in marginal weather conditions, the pilot flew too close to the ground  hit trees and crashed in flames in a wooded area.  The pilot committed an error in judgment in turning too close to the ground in a fog bound area.",1934-11-15,"Mientras volaba de noche en condiciones climáticas marginales, el piloto voló demasiado cerca del suelo, golpeó árboles y se estrelló en llamas en una zona boscosa. El piloto cometió un error de juicio al virar demasiado cerca del suelo en una zona rodeada de niebla."
354,354,"November 15, 1934",?,"Near Longreach, Australia",Qantas,?,London - Sydney,de Havilland DH-86,VH-USG,2311,4,3,1,4,3,1,0,The aircraft suddenly went out of control and crashed to the ground on its delivery flight from England to Brisbane. Improper loading of parts resulting in an aft center of gravity.,1934-11-15,El avión de repente perdió el control y se estrelló contra el suelo en su vuelo de entrega de Inglaterra a Brisbane. Carga incorrecta de piezas que da como resultado un centro de gravedad en popa.
355,355,"December 07, 1934",?,"Salchau, Germany",Deutsche Lufthansa,?,Berlin - Hanover,Junkers F-13,D-OMAS,2008,3,0,3,3,0,3,0,Crashed under unknown circumstances,1934-12-07,Se estrelló en circunstancias desconocidas
356,356,"December 08, 1934",0530,"Columbia, Missouri",Braniff Airlines,?,"Kansas City, MO - Chicago, IL",Lockheed Vega 5C,NC106W,123,1,0,1,1,0,1,0,The mail plane crashed to the ground from a low altitude. Icing.,1934-12-08,El avión correo se estrelló contra el suelo desde una altura baja. Formación de hielo.
357,357,"December 10, 1934",0730,"Palma Soriano, Cuba",Cubana de Aviacion,?,Havana - Santiago de Cuba,Ford 4-AT-E Tri-motor,NM-7,4-AT-63,8,5,3,4,2,2,0,Crashed into a mountain in poor weater condtions and low visiblity while en route.,1934-12-10,Se estrelló contra una montaña en malas condiciones climáticas y poca visibilidad mientras estaba en el camino.
358,358,"December 20, 1934",0333,"Rutbah Wells, Syria",KLM Royal Dutch Airlines,?,"Amsterdam - Batavia, Java",Douglas DC-2-115A,PH-AJU,1317,7,3,4,7,3,4,0,"While flying over the Iraqi Desert at night, the crew encountered poor weather conditions and decided to divert to Rutbah Wells. On approach, the aircraft impacted the ground and exploded.16 km from Rutbah Wells airfield. The aircraft was named ""Uiver"" (Dutch word for stork).",1934-12-20,"Mientras volaba sobre el desierto iraquí por la noche, la tripulación se encontró con malas condiciones climáticas y decidió desviarse a Rutbah Wells. Al acercarse, la aeronave impactó contra el suelo y explotó. A 16 km del aeródromo de Rutbah Wells. El avión se llamó ""Uiver"" (palabra holandesa para cigüeña)."
359,359,"December 22, 1934",0252,"Sunbright, Tennessee",American Airlines,?,"Louisville, KY - Nashville, TN",Lockheed Orion 9D,NC12286,198,1,0,1,1,0,1,0,"Crashed into Big Pilot mountain, 50 feet from the top of the summit, four miles from Sunbright, in poor visibility. The battery-generator system failed, thus causing an error in the ship's compass and probably affecting other essential navigation instruments.",1934-12-22,"Se estrelló contra la montaña Big Pilot, a 50 pies de la cima de la cumbre, a cuatro millas de Sunbright, con poca visibilidad. El sistema de batería-generador falló, lo que provocó un error en la brújula del barco y probablemente afectó a otros instrumentos esenciales de navegación."
360,360,"December 31, 1934",?,?,Aeroflot,?,?,Tupolev ANT-9,?,?,10,8,2,10,8,2,0,Crashed under unknown circumstances.,1934-12-31,Se estrelló en circunstancias desconocidas.
361,361,"January 08, 1935",?,"Near Karachi, Pakistan",Indian Air Force,?,Training,Wapiti,?,?,2,0,2,0,0,2,15,Crashed into a column of soldiers during training. The crew survived with injuries but 15 soldiers were killed and 11 injured. Later the pilot was court-martialled and dismissed.,1935-01-08,"Se estrelló contra una columna de soldados durante el entrenamiento. La tripulación sobrevivió con heridas, pero 15 soldados murieron y 11 resultaron heridos. Posteriormente, el piloto fue sometido a consejo de guerra y despedido."
362,362,"January 26, 1935",?,"Pittsburgh, Pennsylvania",Trans Continental and Western Air,?,"Newark, NJ - Columbus, OH",Consolidated Fleetster,NC13212,?,1,0,1,1,0,1,0,The mail plane crashed and burned soon after taking off in a blinding snowstorm.,1935-01-26,El avión correo se estrelló y se quemó poco después de despegar en medio de una cegadora tormenta de nieve.
363,363,"January 31, 1935",1900,"Stettin, Germany",Deruluft,?,Koenigberg - Berlin,Junkers JU-52/3m,D-AREN,4051,11,8,3,11,8,3,0,"Crashed full speed into a hill, 450 feet high in rain and fog. Icing.",1935-01-31,"Se estrelló a toda velocidad contra una colina, 450 pies de altura en la lluvia y la niebla. Formación de hielo."
364,364,"February 12, 1935",?,"Off Point Sur, Californiia",Military - US Navy,?,?,Goodyear-Zeppelin U.S.S. Macon (airship),ZRS-4,?,83,0,83,2,0,2,0,The airship suffered structural failure in a storm. The airship descended slowly and most of the crew were able to escape. This accident ended the US Navy's airship program.,1935-02-12,La aeronave sufrió una falla estructural en una tormenta. La aeronave descendió lentamente y la mayoría de la tripulación pudo escapar. Este accidente puso fin al programa de aeronaves de la Marina de los EE. UU.
365,365,"March 07, 1935",?,"Schievelbein, Germany",Deruluft,?,?,Rochrbach Roland,D-AJYP,45,3,0,3,0,0,0,0,Fuselage failure forced an emergency landing in a field.,1935-03-07,La falla del fuselaje obligó a un aterrizaje de emergencia en un campo.
366,366,"March 15, 1935",?,"El Arish, Egypt",Misrair,?,Jerusalem - Cairo,de Havilland Dragon 1,SU-ABI,6031,6,5,1,3,2,1,0,"After flying over the airport into a strong headwind, in an attempt to land, one of the aircraft's two engines failed.  While attempting to return to the airport the pilot headed into the strong wind and lost airspeed until he stalled and crashed from a height  of 100 - 130 feet.",1935-03-15,"Después de sobrevolar el aeropuerto con un fuerte viento en contra, en un intento de aterrizar, uno de los dos motores de la aeronave falló. Mientras intentaba regresar al aeropuerto, el piloto se dirigió hacia el fuerte viento y perdió velocidad hasta que se detuvo y se estrelló desde una altura de 100 a 130 pies."
367,367,"March 29, 1935",?,"Off Samland, Germany",Deutsche Lufthansa,?,Training,Junkers F-13,D-OHIL,?,5,0,5,5,0,5,0,"The crew,(3 student pilots and 2 instructors were performing a training flight over Baltic Sea when the  aircraft crashed into the sea for reasons unknown.",1935-03-29,La tripulación (3 estudiantes pilotos y 2 instructores) realizaba un vuelo de entrenamiento sobre el Mar Báltico cuando la aeronave se estrelló contra el mar por razones desconocidas.
